w_um,l_um,idoff_a,isoff_a,vtlin_v,vtsat_v,idlin_a,idsat_a
0.14,0.028,1.85385e-12,5.38545e-14,0.612901,0.370012,1.07365e-05,0.000213924
0.14,0.056,1.80005e-12,5.13351e-17,0.659312,0.540836,5.86683e-06,7.54481e-05
0.14,0.14,1.80061e-12,6.06954e-16,0.493972,0.450293,3.661e-06,4.39891e-05
0.14,0.28,1.80632e-12,6.31633e-15,0.402638,0.373787,2.40304e-06,2.92016e-05
0.14,0.56,1.8163e-12,1.62961e-14,0.349275,0.324607,1.42227e-06,1.76706e-05
0.14,1.5,1.81004e-12,1.00387e-14,0.332522,0.313331,6.76065e-07,7.94592e-06
0.14,2.7,1.80526e-12,5.25766e-15,0.332655,0.314741,4.17126e-07,4.84106e-06
0.28,0.028,1.99007e-12,1.90069e-13,0.618795,0.357553,2.36266e-05,0.000484869
0.28,0.056,1.80015e-12,1.50648e-16,0.646739,0.529547,1.3532e-05,0.000171715
0.28,0.14,1.80202e-12,2.02178e-15,0.480634,0.435946,8.34722e-06,9.85599e-05
0.28,0.28,1.8195e-12,1.94958e-14,0.386861,0.359111,5.41436e-06,6.53236e-05
0.28,0.56,1.84958e-12,4.95761e-14,0.336848,0.312989,3.23389e-06,3.96601e-05
0.28,1.5,1.83395e-12,3.39451e-14,0.316057,0.297148,1.56508e-06,1.88556e-05
0.28,2.7,1.81569e-12,1.56879e-14,0.32141,0.303531,9.63345e-07,1.12569e-05
0.56,0.028,2.18047e-12,3.80473e-13,0.604286,0.355746,5.21782e-05,0.00105144
0.56,0.056,1.80053e-12,5.29391e-16,0.629206,0.512899,3.11168e-05,0.000401609
0.56,0.14,1.8058e-12,5.79542e-15,0.468115,0.422681,1.85457e-05,0.000221445
0.56,0.28,1.86461e-12,6.46096e-14,0.375542,0.343024,1.22414e-05,0.000147654
0.56,0.56,1.94368e-12,1.43683e-13,0.326414,0.303013,7.7262e-06,9.32429e-05
0.56,1.5,1.89597e-12,9.59706e-14,0.310188,0.291506,3.67405e-06,4.09883e-05
0.56,2.7,1.84858e-12,4.85771e-14,0.309799,0.291944,2.213e-06,2.51814e-05
1.5,0.028,3.59887e-12,1.79887e-12,0.582421,0.340171,0.000171336,0.00340486
1.5,0.056,1.80278e-12,2.77923e-15,0.608919,0.492959,9.79644e-05,0.00126867
1.5,0.14,1.83227e-12,3.2275e-14,0.449818,0.405531,6.14821e-05,0.000723917
1.5,0.28,2.13289e-12,3.32892e-13,0.354484,0.324648,4.0523e-05,0.000480591
1.5,0.56,2.59106e-12,7.91058e-13,0.306183,0.282897,2.50291e-05,0.000301762
1.5,1.5,2.31838e-12,5.18383e-13,0.286958,0.268475,1.16251e-05,0.000131926
1.5,2.7,2.0747e-12,2.74702e-13,0.286672,0.269639,7.3066e-06,8.34288e-05
2.7,0.028,8.25092e-12,6.45092e-12,0.559253,0.320282,0.00034718,0.00684202
2.7,0.056,1.80741e-12,7.40547e-15,0.600652,0.48539,0.000195164,0.00250373
2.7,0.14,1.89891e-12,9.89125e-14,0.436422,0.394344,0.000120713,0.0014517
2.7,0.28,2.72694e-12,9.26937e-13,0.340754,0.312149,8.18204e-05,0.000961705
2.7,0.56,4.00335e-12,2.20335e-12,0.295872,0.27206,5.14333e-05,0.000620027
2.7,1.5,3.43336e-12,1.63336e-12,0.271775,0.253044,2.35366e-05,0.000270392
2.7,2.7,2.54157e-12,7.41573e-13,0.277923,0.26064,1.47496e-05,0.00016672
5.4,0.028,2.15401e-11,1.97401e-11,0.540201,0.310625,0.000776427,0.0152663
5.4,0.056,1.82315e-12,2.31498e-14,0.586276,0.471979,0.000436195,0.00557375
5.4,0.14,2.12127e-12,3.21275e-13,0.423573,0.379488,0.000275448,0.00321529
5.4,0.28,4.9257e-12,3.1257e-12,0.331004,0.302393,0.000189671,0.00218487
5.4,0.56,9.75369e-12,7.95369e-12,0.278741,0.255138,0.00011342,0.00132606
5.4,1.5,7.0853e-12,5.2853e-12,0.261015,0.242516,5.50711e-05,0.000606807
5.4,2.7,4.35579e-12,2.55579e-12,0.261663,0.244284,3.38775e-05,0.000375491
