w_um,l_um,metric_name,target_value,simulated_value,relative_error
0.14,0.028,vtlin_v,0.607256809237,0.612901,0.009294569739105606
0.14,0.028,vtsat_v,0.359302091745,0.370012,0.02980753104716388
0.14,0.028,idlin_a,1.07430349538e-05,1.07365e-05,0.0006082968014256507
0.14,0.028,idsat_a,0.000215083010603,0.000213924,0.005388666449063763
0.14,0.028,idoff_a,1.76395199322e-12,1.85385e-12,0.050963975848285825
0.14,0.028,isoff_a,5.61341864273e-14,5.38545e-14,0.040611373788278664
0.14,0.056,vtlin_v,0.683399939321,0.659312,0.03524720728675043
0.14,0.056,vtsat_v,0.529739819003,0.540836,0.020946473342108907
0.14,0.056,idlin_a,6.0004196282e-06,5.86683e-06,0.02226338097625259
0.14,0.056,idsat_a,7.47147725441e-05,7.54481e-05,0.00981502627833275
0.14,0.056,idoff_a,1.83785314152e-12,1.80005e-12,0.020569185135616966
0.14,0.056,isoff_a,5.02116656174e-17,5.13351e-17,0.02237397164157594
0.14,0.14,vtlin_v,0.476146671373,0.493972,0.03743663391702296
0.14,0.14,vtsat_v,0.460251471844,0.450293,0.021637023351824023
0.14,0.14,idlin_a,3.77085419596e-06,3.661e-06,0.02913244327444298
0.14,0.14,idsat_a,4.3302819656e-05,4.39891e-05,0.01584839854429458
0.14,0.14,idoff_a,1.80288117263e-12,1.80061e-12,0.0012597461576943558
0.14,0.14,isoff_a,5.85053192709e-16,6.06954e-16,0.03743387364419223
0.14,0.28,vtlin_v,0.395613380354,0.402638,0.01775627416776011
0.14,0.28,vtsat_v,0.389404206448,0.373787,0.040105387125769276
0.14,0.28,idlin_a,2.31131976243e-06,2.40304e-06,0.03968305859746983
0.14,0.28,idsat_a,3.00199785067e-05,2.92016e-05,0.027261129001719658
0.14,0.28,idoff_a,1.87112886278e-12,1.80632e-12,0.03463623701668053
0.14,0.28,isoff_a,6.44233464974e-15,6.31633e-15,0.019558848863134647
0.14,0.56,vtlin_v,0.339746089048,0.349275,0.02804715421066618
0.14,0.56,vtsat_v,0.333582702865,0.324607,0.02690697925255581
0.14,0.56,idlin_a,1.38776527008e-06,1.42227e-06,0.024863520268100403
0.14,0.56,idsat_a,1.79715847597e-05,1.76706e-05,0.01674781404781493
0.14,0.56,idoff_a,1.78333334005e-12,1.8163e-12,0.018485977472431307
0.14,0.56,isoff_a,1.58620430293e-14,1.62961e-14,0.027364505940263708
0.14,1.5,vtlin_v,0.341781411157,0.332522,0.027091617199586773
0.14,1.5,vtsat_v,0.321122117967,0.313331,0.02426216548497181
0.14,1.5,idlin_a,6.650923906e-07,6.76065e-07,0.016497872408525363
0.14,1.5,idsat_a,7.78349178372e-06,7.94592e-06,0.020868296748219696
0.14,1.5,idoff_a,1.83795730151e-12,1.81004e-12,0.01518930906994639
0.14,1.5,isoff_a,1.0316913452e-14,1.00387e-14,0.026966733150801683
0.14,2.7,vtlin_v,0.333379018094,0.332655,0.002171756633453992
0.14,2.7,vtsat_v,0.305538792272,0.314741,0.0301179685223339
0.14,2.7,idlin_a,4.04313101241e-07,4.17126e-07,0.03169053567562382
0.14,2.7,idsat_a,4.84560129168e-06,4.84106e-06,0.0009371987926034591
0.14,2.7,idoff_a,1.86434262257e-12,1.80526e-12,0.03169086081857337
0.14,2.7,isoff_a,5.30052974735e-15,5.25766e-15,0.008087823178698826
0.28,0.028,vtlin_v,0.639089835268,0.618795,0.03175584111659272
0.28,0.028,vtsat_v,0.354842191208,0.357553,0.007639477094794004
0.28,0.028,idlin_a,2.42560375745e-05,2.36266e-05,0.025949727879780275
