w_um,l_um,toxe,vth0,u0,vsat,rdsw,nfactor,eta0,cit,voff,k2,ub,uc,a0,keta
0.14,0.028,9.818450974622824e-10,0.26397631049583464,411.9142791931979,115069.63691285162,143.93527292316838,0.9461287526816842,0.05405197071473995,0.00015124891114475035,-0.12404530121018262,0.007702414090406592,4.0011833962336235e-18,-0.042352232869219214,1.0602817526548598,-0.043256905143120195
0.14,0.056,1.0228405966113816e-09,0.3071360526205697,432.16709785001984,103477.7538183845,169.13045417946262,1.089101127296667,0.05544810956074254,0.00014738698440572168,-0.12847700024931455,0.014826591792395018,3.8261140124691084e-18,-0.04366256065201351,0.9557234168394924,-0.043297225708647955
0.14,0.14,1.0259308231619975e-09,0.3218966869537522,448.34860218945073,111494.50163436572,162.80481219903444,1.0358608499211974,0.04939584404333148,0.00013393516629888797,-0.11994909360788557,0.021562237636411526,3.379624972677617e-18,-0.03541104756723061,0.8316464491061507,-0.03346152520724955
0.14,0.28,1.1575235167642608e-09,0.3274640183871045,434.04668988724757,100058.52405633288,190.55663829416798,1.2595697598417757,0.044926015189216725,0.00012992897545824518,-0.10373074446253744,0.030724514991719763,3.1949949054592796e-18,-0.03588973250282347,0.8757347963393299,-0.03234634334148679
0.14,0.56,9.982883818300315e-10,0.34633057286326163,491.2936199583335,106307.50975197577,219.84992360540755,1.1188126003834653,0.040170511613179985,0.00012163349428238083,-0.10701679106462791,0.03734749364733551,2.908168636541641e-18,-0.03265409972322662,0.7515608013393034,-0.027779311141320925
0.14,1.5,1.1021306519866155e-09,0.3655250834387299,489.08842573247745,86598.45825290425,205.3118131298424,1.1929131631350376,0.037143124310409545,0.00010867064684567304,-0.09690240747923734,0.04907515403973605,2.469331430538217e-18,-0.025107679841513453,0.8882495737233455,-0.018970721300682055
0.14,2.7,1.1280015736790158e-09,0.3740364017046799,495.2113709640684,94048.49146123699,242.79360763768847,1.16485434744904,0.033082844965026004,0.00010285337420537036,-0.0918917189711069,0.05322774570368341,2.251742896446353e-18,-0.022509826072265617,0.8955003493112691,-0.015272689205788488
0.28,0.028,9.852468390023719e-10,0.28118318696534,470.5922109568982,109261.79969610568,153.24903713492606,1.1900215624791601,0.0632868955313495,0.0001510837605383849,-0.12966766711319083,0.005147340573358067,3.966314269952991e-18,-0.046908147779073914,1.0530321640859959,-0.047877530372098555
0.28,0.056,9.99764127153243e-10,0.29755733400347967,474.35474673005996,96641.91369300534,146.41599615183915,1.0816836829388794,0.053573601603108804,0.00013938754224597147,-0.12791108021611902,0.01262098376966424,3.5900081798614474e-18,-0.03932172062159536,1.1302218694179134,-0.03898824132824188
0.28,0.14,1.0264755024605953e-09,0.3140480473382967,489.97713662511916,105261.71993093943,173.24466040009284,1.035187563659179,0.05217297829642535,0.0001293740725830101,-0.12079104010500727,0.018933956804237345,3.2330135187171086e-18,-0.03540483731499986,1.0950418729801348,-0.03345324487094189
0.28,0.28,1.1853912882733183e-09,0.31142910391151546,440.0107109776131,115652.27836296237,164.8097361951766,1.0435843460074266,0.03959629085240849,0.00012159271718142443,-0.09907316073819183,0.02840760537708661,2.9597773271997738e-18,-0.03274242345553475,1.0148695096906395,-0.029557603810503725
0.28,0.56,1.035010375238254e-09,0.33440748022128153,501.0356608632094,111045.32634027248,205.37336505493582,1.0657870563567178,0.04198474182394686,0.00011398554965918137,-0.10316129307141145,0.03151013021705572,2.688604525638007e-18,-0.029463085460922033,0.8773759972871402,-0.025070220280582294
0.28,1.5,1.1024705569012406e-09,0.35574894882153285,531.001034741343,109720.31215699218,184.77979324009004,1.046550863469347,0.034993100765052576,0.00010412715450945828,-0.09759984553517981,0.039873021992834635,2.323016879448027e-18,-0.02516995358825899,0.8357884120563341,-0.018964756994584386
0.28,2.7,1.1446359112889328e-09,0.3681340616392942,540.0864424046912,98533.70954576468,211.70521139552335,1.1320359363314734,0.02799032638300369,9.992490466640989e-05,-0.09214926159891665,0.0498516899323184,2.142327666478614e-18,-0.02505597309959375,0.8915539108807976,-0.01707463079945833
0.56,0.028,9.714483568531666e-10,0.27034587309511515,500.4080986085004,101052.16785639379,158.58145993306988,1.0881595939175122,0.05606879049057866,0.00014155824313737543,-0.13429482538643797,0.0016770755180518671,3.6954801664672e-18,-0.042397888754667074,1.2293823075618344,-0.04331777965705068
0.56,0.056,1.0026366353772404e-09,0.2877003766455784,517.2815267089665,122451.85294000687,138.93370281642729,1.0250047875443564,0.05175165052863751,0.00013506041131663296,-0.12841297599243395,0.009060009522296832,3.4484233649626094e-18,-0.03929015280440161,0.9937150110620417,-0.03894615090531687
0.56,0.14,9.443111880499678e-10,0.29540132430448557,554.6493382547478,109200.2645660967,166.1690307646493,0.9437959710378707,0.04568525418388942,0.00012808297008891684,-0.10789038410072752,0.01782799885336939,3.1661112809308817e-18,-0.03922577015529353,1.145411757601653,-0.03704724870548359
0.56,0.28,9.146257274137876e-10,0.3149286160667221,582.7850204317592,98504.28429085288,177.19911855448615,1.25439195955347,0.042173781092980415,0.00011682402780684362,-0.10567868923048675,0.02289111258732489,2.808304649171891e-18,-0.03255878313887561,1.0779187906548757,-0.029313369937845463
0.56,0.56,1.0753837747565459e-09,0.3337553454989506,557.5650785756774,116805.00599830181,166.08426877654318,1.0345582475764556,0.040201006753394906,0.00011028947047276888,-0.10675822254245321,0.028399124570416157,2.5587294191168268e-18,-0.029339370512490765,0.9680530938364436,-0.024905417408854737
0.56,1.5,1.242769339928393e-09,0.34265513725174124,541.9426207291212,114557.25822723913,180.42919483072913,1.2035831475388419,0.03319345106129411,9.999645525648421e-05,-0.08780795044797889,0.04123818535008404,2.1837034577695644e-18,-0.025017826044242766,1.2363633009491681,-0.018852113394268004
0.56,2.7,1.1154781638819206e-09,0.3610607366694862,580.1220362914491,92006.41568433012,221.07976852621434,1.1946190287383858,0.028616425716484175,9.28156908271737e-05,-0.09142249610900001,0.04703029732953857,1.9415552232074083e-18,-0.022636911426942054,1.044344999261799,-0.015434055164077655
1.5,0.028,9.698512209750761e-10,0.2594104243174601,560.6952383915669,129291.06666789255,120.04793375136836,1.045942486479913,0.05340884517501506,0.00013483800372549536,-0.1351208806362288,-0.002763510473764871,3.4819796345112895e-18,-0.042415586781550725,1.3481990293812942,-0.04334137702622888
1.5,0.056,8.961665266875043e-10,0.27431069638070205,660.5087156013043,128934.02313241249,165.30265746251027,1.0637771714390907,0.049149523923950486,0.0001319450041138473,-0.13702409055691034,0.0046322027941601025,3.323510821811459e-18,-0.04356535066920713,1.2034297295589385,-0.043167612398239456
1.5,0.14,1.0324602102244011e-09,0.29912211116401727,592.2889647054909,126138.53662002365,140.08576845435846,1.006427712322006,0.043028138997961776,0.00011866450391118065,-0.1197455949365233,0.012654131940344806,2.884428314174538e-18,-0.035341459075638966,1.2879388946393406,-0.033368892089541954
1.5,0.28,1.0519408447748097e-09,0.31092162399642403,604.1431263712595,124369.98795403483,147.9914407875192,1.0057236629699937,0.04050916827843967,0.00011108546158249866,-0.1132892944113943,0.01856120920548284,2.614689225158029e-18,-0.0323595724219083,1.2420722221898268,-0.02916408622039733
1.5,0.56,1.0785303113782621e-09,0.3240106417781297,618.0698884622865,122953.09744999008,156.6782156268525,0.9958509563954375,0.03731486430044371,0.00010390505584057322,-0.10663991375239691,0.024577964266564768,2.3516532780394223e-18,-0.02930799094809649,1.0361011423712958,-0.0248634275968149
1.5,1.5,1.1036534303463934e-09,0.341278708668821,631.9067120719637,118130.93020364262,167.7303575113524,1.032846181257107,0.03005769797694005,9.298508744321244e-05,-0.0975685061241296,0.03774490191365069,1.96571291706709e-18,-0.025090368531067296,1.195938702128401,-0.018948494911906606
1.5,2.7,1.121763184110309e-09,0.34964193913850244,642.8655798049779,118257.96715743908,174.65111293162425,1.0064875714511579,0.025770301228327127,8.664569136795248e-05,-0.0920446409471651,0.04230212820296291,1.7384277450945904e-18,-0.02257628309180117,1.093602964966452,-0.015353071751730517
2.7,0.028,9.30019699493584e-10,0.23229706352524154,658.0661175055457,121632.9457948011,128.11284636730966,0.9927791176681632,0.052375057320605274,0.00013531186575644239,-0.1415702614024287,-0.004817371418249036,3.4638080944075578e-18,-0.04692686764337157,1.2886176816895492,-0.0479024901911621
2.7,0.056,1.0032608860849464e-09,0.2764854397830172,611.6327554584403,120037.03516244583,137.08819328176,1.1135385367410933,0.04622183184571883,0.00012460922876369123,-0.1282938932297052,0.0018411858113453025,3.11337465182984e-18,-0.039281665494090394,1.3899267373847788,-0.03893483449156858
