w_um,l_um,idoff_a,isoff_a,vtlin_v,vtsat_v,idlin_a,idsat_a
0.14,0.028,1.8533e-12,5.33049e-14,0.624066,0.37048,1.07087e-05,0.000216398
0.14,0.056,1.80005e-12,4.84981e-17,0.659629,0.541719,5.82315e-06,7.43309e-05
0.14,0.14,1.8006e-12,5.95777e-16,0.493812,0.450291,3.67266e-06,4.37729e-05
0.14,0.28,1.80647e-12,6.46941e-15,0.401448,0.372183,2.37951e-06,2.88464e-05
0.14,0.56,1.81619e-12,1.61874e-14,0.349249,0.324362,1.42207e-06,1.76531e-05
0.14,1.5,1.81005e-12,1.00497e-14,0.332532,0.313301,6.64108e-07,7.89643e-06
0.14,2.7,1.80536e-12,5.3564e-15,0.332213,0.314204,4.17476e-07,4.93091e-06
0.28,0.028,2.00074e-12,2.00745e-13,0.618578,0.356974,2.35439e-05,0.0004862
0.28,0.056,1.80015e-12,1.50758e-16,0.645649,0.529027,1.35857e-05,0.000172754
0.28,0.14,1.80195e-12,1.95466e-15,0.48137,0.436881,8.1936e-06,9.75444e-05
0.28,0.28,1.81924e-12,1.92387e-14,0.387726,0.357796,5.51122e-06,6.58337e-05
0.28,0.56,1.84987e-12,4.98666e-14,0.337625,0.313844,3.27918e-06,3.95479e-05
0.28,1.5,1.83344e-12,3.34388e-14,0.316427,0.297597,1.56603e-06,1.85609e-05
0.28,2.7,1.8157e-12,1.57009e-14,0.321389,0.303508,9.63961e-07,1.1266e-05
0.56,0.028,2.18893e-12,3.88932e-13,0.60371,0.355135,5.226e-05,0.0010534
0.56,0.056,1.80052e-12,5.24637e-16,0.629498,0.513131,3.10947e-05,0.000399924
0.56,0.14,1.80586e-12,5.86389e-15,0.469743,0.42525,1.86446e-05,0.000222577
0.56,0.28,1.86376e-12,6.37611e-14,0.375536,0.34335,1.19536e-05,0.00014253
0.56,0.56,1.94237e-12,1.42375e-13,0.326491,0.303103,7.72281e-06,9.24075e-05
0.56,1.5,1.89619e-12,9.61884e-14,0.308067,0.289707,3.69839e-06,4.30107e-05
0.56,2.7,1.84903e-12,4.90301e-14,0.309556,0.291699,2.17879e-06,2.52475e-05
1.5,0.028,3.64e-12,1.84e-12,0.581862,0.33952,0.000171425,0.00340803
1.5,0.056,1.8028e-12,2.8029e-15,0.612987,0.495663,9.7264e-05,0.00126111
1.5,0.14,1.83287e-12,3.28675e-14,0.449241,0.405012,6.15962e-05,0.000732162
1.5,0.28,2.13705e-12,3.37048e-13,0.354037,0.324173,4.0572e-05,0.000486525
1.5,0.56,2.58719e-12,7.87195e-13,0.307863,0.284444,2.48446e-05,0.000294364
1.5,1.5,2.33734e-12,5.37341e-13,0.287156,0.268569,1.15947e-05,0.000134417
1.5,2.7,2.06859e-12,2.68593e-13,0.287368,0.270264,7.30389e-06,8.38696e-05
2.7,0.028,8.23778e-12,6.43778e-12,0.566576,0.318542,0.000338818,0.0067608
2.7,0.056,1.80757e-12,7.56992e-15,0.603824,0.487192,0.000194132,0.00249277
2.7,0.14,1.89474e-12,9.47382e-14,0.437616,0.393452,0.000121326,0.00143785
2.7,0.28,2.71878e-12,9.18783e-13,0.342126,0.311345,7.85396e-05,0.000926686
2.7,0.56,4.00663e-12,2.20663e-12,0.295565,0.27215,5.13088e-05,0.000594252
2.7,1.5,3.43169e-12,1.63169e-12,0.271821,0.253072,2.31546e-05,0.000267835
2.7,2.7,2.55543e-12,7.55432e-13,0.277965,0.260766,1.44765e-05,0.000160765
5.4,0.028,2.1485e-11,1.9685e-11,0.538987,0.310769,0.000785321,0.0153111
5.4,0.056,1.82362e-12,2.3622e-14,0.585699,0.471489,0.00043679,0.00560159
5.4,0.14,2.1213e-12,3.21301e-13,0.423584,0.379484,0.000270421,0.00319771
5.4,0.28,4.97246e-12,3.17246e-12,0.330236,0.300865,0.000185966,0.00219147
5.4,0.56,9.74682e-12,7.94682e-12,0.278833,0.254742,0.000112407,0.00136636
5.4,1.5,7.02838e-12,5.22838e-12,0.26116,0.242636,5.38253e-05,0.000613774
5.4,2.7,4.34301e-12,2.54301e-12,0.261808,0.244261,3.48664e-05,0.0003884
