w_um,l_um,metric_name,target_value,simulated_value,relative_error
0.14,0.028,vtlin_v,0.607256809237,0.624066,0.02768053071997706
0.14,0.028,vtsat_v,0.359302091745,0.37048,0.03111005616670065
0.14,0.028,idlin_a,1.07430349538e-05,1.07087e-05,0.003196019928042364
0.14,0.028,idsat_a,0.000215083010603,0.000216398,0.006113869214092405
0.14,0.028,idoff_a,1.76395199322e-12,1.8533e-12,0.050652175979517496
0.14,0.028,isoff_a,5.61341864273e-14,5.33049e-14,0.05040219886261722
0.14,0.056,vtlin_v,0.683399939321,0.659629,0.03478335006089968
0.14,0.056,vtsat_v,0.529739819003,0.541719,0.022613329350142857
0.14,0.056,idlin_a,6.0004196282e-06,5.82315e-06,0.029542871862976227
0.14,0.056,idsat_a,7.47147725441e-05,7.43309e-05,0.005137839961614313
0.14,0.056,idoff_a,1.83785314152e-12,1.80005e-12,0.020569185135616966
0.14,0.056,isoff_a,5.02116656174e-17,4.84981e-17,0.03412684276313251
0.14,0.14,vtlin_v,0.476146671373,0.493812,0.03710060300550009
0.14,0.14,vtsat_v,0.460251471844,0.450291,0.021641368802349122
0.14,0.14,idlin_a,3.77085419596e-06,3.67266e-06,0.026040305685964427
0.14,0.14,idsat_a,4.3302819656e-05,4.37729e-05,0.010855652073799023
0.14,0.14,idoff_a,1.80288117263e-12,1.8006e-12,0.0012652928349528067
0.14,0.14,isoff_a,5.85053192709e-16,5.95777e-16,0.018329627843487236
0.14,0.28,vtlin_v,0.395613380354,0.401448,0.0147482869279576
0.14,0.28,vtsat_v,0.389404206448,0.372183,0.044224500308010124
0.14,0.28,idlin_a,2.31131976243e-06,2.37951e-06,0.029502727696278715
0.14,0.28,idsat_a,3.00199785067e-05,2.88464e-05,0.039093249398498904
0.14,0.28,idoff_a,1.87112886278e-12,1.80647e-12,0.03455607150644555
0.14,0.28,isoff_a,6.44233464974e-15,6.46941e-15,0.0042027233498485
0.14,0.56,vtlin_v,0.339746089048,0.349249,0.027970626471751272
0.14,0.56,vtsat_v,0.333582702865,0.324362,0.02764142980378582
0.14,0.56,idlin_a,1.38776527008e-06,1.42207e-06,0.024719403676979425
0.14,0.56,idsat_a,1.79715847597e-05,1.76531e-05,0.01772157347048107
0.14,0.56,idoff_a,1.78333334005e-12,1.81619e-12,0.018424295229672923
0.14,0.56,isoff_a,1.58620430293e-14,1.61874e-14,0.0205116686481689
0.14,1.5,vtlin_v,0.341781411157,0.332532,0.027062358732995045
0.14,1.5,vtsat_v,0.321122117967,0.313301,0.0243555878882306
0.14,1.5,idlin_a,6.650923906e-07,6.64108e-07,0.0014800809841050266
0.14,1.5,idsat_a,7.78349178372e-06,7.89643e-06,0.014509967944749637
0.14,1.5,idoff_a,1.83795730151e-12,1.81005e-12,0.015183868247141801
0.14,1.5,isoff_a,1.0316913452e-14,1.00497e-14,0.0259005227913585
0.14,2.7,vtlin_v,0.333379018094,0.332213,0.0034975749243800606
0.14,2.7,vtsat_v,0.305538792272,0.314204,0.028360417554724012
0.14,2.7,idlin_a,4.04313101241e-07,4.17476e-07,0.03255620141567944
0.14,2.7,idsat_a,4.84560129168e-06,4.93091e-06,0.017605391608772496
0.14,2.7,idoff_a,1.86434262257e-12,1.80536e-12,0.031637222609164024
0.14,2.7,isoff_a,5.30052974735e-15,5.3564e-15,0.010540503555881764
0.28,0.028,vtlin_v,0.639089835268,0.618578,0.032095386495074645
0.28,0.028,vtsat_v,0.354842191208,0.356974,0.006007765831742423
0.28,0.028,idlin_a,2.42560375745e-05,2.35439e-05,0.029359188297459527
0.28,0.028,idsat_a,0.000482249308817,0.0004862,0.0081922174086499
0.28,0.028,idoff_a,2.04253457748e-12,2.00074e-12,0.02046211503139637
0.28,0.028,isoff_a,1.96191911378e-13,2.00745e-13,0.023207320781067443
0.28,0.056,vtlin_v,0.661258993729,0.645649,0.0236064747353702
0.28,0.056,vtsat_v,0.528515591976,0.529027,0.0009676309114893508
0.28,0.056,idlin_a,1.35136710316e-05,1.35857e-05,0.0053300815323658835
0.28,0.056,idsat_a,0.000170554214957,0.000172754,0.012897863846722443
0.28,0.056,idoff_a,1.79855478263e-12,1.80015e-12,0.000886943998262494
0.28,0.056,isoff_a,1.50873785363e-16,1.50758e-16,0.0007674319479783878
0.28,0.14,vtlin_v,0.464609724951,0.48137,0.036073879105237495
