corner_name,w_um,l_um,parameter_name,metric_name,sensitivity
w_min_l_min,0.14,0.028,toxe,idoff_a,0.0012958333333333227
w_min_l_min,0.14,0.028,toxe,isoff_a,0.0012964999999999997
w_min_l_min,0.14,0.028,toxe,vtlin_v,-519583333.33333266
w_min_l_min,0.14,0.028,toxe,vtsat_v,-591916666.6666644
w_min_l_min,0.14,0.028,toxe,idlin_a,14491.666666666682
w_min_l_min,0.14,0.028,toxe,idsat_a,375000.0000000002
w_min_l_min,0.14,0.028,vth0,idoff_a,-2.2907692307692228e-12
w_min_l_min,0.14,0.028,vth0,isoff_a,-2.290923076923077e-12
w_min_l_min,0.14,0.028,vth0,vtlin_v,1.061923076923082
w_min_l_min,0.14,0.028,vth0,vtsat_v,1.0991538461538457
w_min_l_min,0.14,0.028,vth0,idlin_a,-1.603846153846152e-05
w_min_l_min,0.14,0.028,vth0,idsat_a,-0.0003055384615384622
w_min_l_min,0.14,0.028,u0,idoff_a,1.6599999999999478e-16
w_min_l_min,0.14,0.028,u0,isoff_a,1.663533333333335e-16
w_min_l_min,0.14,0.028,u0,vtlin_v,-8.586666666666372e-05
w_min_l_min,0.14,0.028,u0,vtsat_v,-6.986666666666622e-05
w_min_l_min,0.14,0.028,u0,idlin_a,2.146666666666664e-08
w_min_l_min,0.14,0.028,u0,idsat_a,4.544666666666666e-07
w_min_l_min,0.14,0.028,vsat,idoff_a,-6.538461538461084e-20
w_min_l_min,0.14,0.028,vsat,isoff_a,-6.607692307692253e-20
w_min_l_min,0.14,0.028,vsat,vtlin_v,-5.769230769225864e-09
w_min_l_min,0.14,0.028,vsat,vtsat_v,2.7692307692292686e-08
w_min_l_min,0.14,0.028,vsat,idlin_a,1.2307692307693232e-12
w_min_l_min,0.14,0.028,vsat,idsat_a,8.500000000000395e-11
w_min_l_min,0.14,0.028,rdsw,idoff_a,4.142857142859909e-17
w_min_l_min,0.14,0.028,rdsw,isoff_a,4.1085714285713525e-17
w_min_l_min,0.14,0.028,rdsw,vtlin_v,-1.2857142857195366e-06
w_min_l_min,0.14,0.028,rdsw,vtsat_v,-1.7285714285711746e-05
w_min_l_min,0.14,0.028,rdsw,idlin_a,-7.485714285714243e-09
w_min_l_min,0.14,0.028,rdsw,idsat_a,-7.385714285714024e-08
w_min_l_min,0.14,0.028,nfactor,idoff_a,3.708333333333372e-14
w_min_l_min,0.14,0.028,nfactor,isoff_a,3.684583333333336e-14
w_min_l_min,0.14,0.028,nfactor,vtlin_v,0.0004583333333372611
w_min_l_min,0.14,0.028,nfactor,vtsat_v,-0.003750000000001437
